project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
bhaden94/Covid19-tracker-V2-API,error with test,6.9,no test,,,,,0,4
TheRealThermionic/TrinityWeapons,error with test,7.5,fail to add plugin,,,,,4,8
Tomotoes/ArithmeticGenerator,error with test,5.2.1,no test,,,,,0,4
mbeddr/build.publish.jdk,error with test,6.8.1,no test,,,,,0,4
taxet/nana:nana-core,error with test,5.6,no test,,,,,0,4
taxet/nana:nana-server,error with test,5.6,no test,,,,,0,4
pgp/Abvuze,error with test,5.1.1,no test,,,,,1,4
IvanHayel/ilearning-final-project-api,error with test,7.4.2,run time error,,,,,0,8
sbstnc/example-spring-otel:api,error with test,7.5.1,run time error,,,,,2,8
sbstnc/example-spring-otel:cli,error with test,7.5.1,run time error,,,,,2,8
sbstnc/example-spring-otel:core,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:domain,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:jooq-generator,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:jooq-models,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:migrations,error with test,7.5.1,no test,,,,,3,4
sbstnc/example-spring-otel:persistence,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:rest,error with test,7.5.1,run time error,,,,,3,8
sbstnc/example-spring-otel:spi,error with test,7.5.1,run time error,,,,,3,8
Sivakumar00/EasyNews,error with test,4.4,no test,,,,,0,4
choudharyjayant/java-gradle-prefav,error with test,7.4.1,run time error,,,,,1,8
energizedwork/heroku-buildpack-runnable-jar-gradle-plugin,F,3.3,N/A,,,,,0,12
wldandan/msa-pact-demo-within-one-gradle-project,F,2.3,N/A,,,,,0,4
jpaulm/javafbp,F,7.6.1,N/A,,,,,0,8
Csaba79-coder/hotelReservation,error with test,7.4.1,run time error,,,,,0,8
caiotayota/Recipes-REST-API,F,,N/A,,,,,0,4
